ID	ID Arabidopsis	KEGG/ec
Manes.07G087500	AT3G54250.1	4.1.1.33
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.01G043500	AT5G24530.1	1.14.11.9
Manes.13G064000	AT3G07800.1	2.7.1.21
Manes.06G162900	AT1G51410.1	1.1.1.195
Manes.04G161300	AT1G50380.1	3.4.21.83
Manes.05G097100	AT1G69830.1	3.2.1.1,3.2.1.141
Manes.03G087300	AT3G13490.1	6.1.1.6
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.15G123600	AT5G46180.1	2.6.1.13
Manes.15G147700	AT4G34350.1	1.17.1.2
Manes.10G026400	AT3G11410.1	3.1.3.16
Manes.01G233500	AT3G62220.1	2.7.11.1
Manes.03G037800	AT5G13640.1	2.3.1.20,2.3.1.158
Manes.18G018400	AT4G39090.1	3.4.22.41
Manes.03G086500	AT4G26330.1	3.4.14.10
Manes.13G091100	AT2G22240.1	5.5.1.4
Manes.05G102400	AT1G26820.1	3.1.27.1
Manes.07G070200	AT4G35220.1	3.5.1.9
Manes.04G010600	AT1G08200.1	4.1.1.35
Manes.03G027700	AT5G19740.1	3.4.17.11
Manes.14G017800	AT5G53140.1	3.1.3.16
Manes.15G015900	AT5G18640.1	3.1.1.3
Manes.01G008800	AT2G44160.1	1.5.1.20
Manes.01G084700	AT3G60340.2	3.1.2.22
Manes.02G210900	AT5G27470.1	6.1.1.11
Manes.11G005800	AT5G07030.1	3.4.23.12
Manes.01G125200	AT1G07650.1	2.7.11.1
Manes.04G125700	AT1G11300.1	2.7.11.1
Manes.S022600	AT3G53620.1	3.6.1.1
Manes.10G047600	AT5G03300.1	2.7.1.20
Manes.02G107900	AT1G75900.1	3.1.1.3
Manes.10G052600	AT5G58330.1	1.1.1.82
Manes.03G041500	AT2G05840.1	3.4.25.1
Manes.13G119500	AT5G43060.1	3.4.22.14
Manes.04G001300	AT5G22330.1	3.6.4.12
Manes.06G071000	AT1G25510.1	3.4.23.12
Manes.05G020900	AT2G46580.1	1.4.3.5
Manes.09G143000	AT5G56350.1	2.7.1.40
Manes.05G060700	AT2G44530.1	2.7.6.1
Manes.04G087000	AT4G39120.1	3.1.3.25,3.1.3.15
Manes.04G002800	AT2G27450.1	3.5.1.53
Manes.05G042200	AT3G61130.1	2.4.1.43
Manes.16G016400	AT1G61720.1	1.3.1.77
Manes.04G073800	AT5G11880.1	4.1.1.20
Manes.05G003600	AT2G47390.1	3.4.19.1
Manes.15G062500	AT3G26280.1	1.14.13.121
Manes.13G005300	AT3G02780.1	5.3.3.2
Manes.01G097900	AT5G15490.1	1.1.1.22
Manes.17G053100	AT4G18480.1	6.6.1.1
Manes.12G032900	AT2G31140.1	3.4.21.89
Manes.15G172000	AT2G35320.1	3.1.3.48
Manes.S031800	AT1G32060.1	2.7.1.19
Manes.15G175800	AT3G28480.1	1.14.11.2
Manes.06G117700	AT5G60160.1	3.4.11.21
Manes.08G025500	AT2G36230.1	5.3.1.16
Manes.04G040500	AT2G43360.1	2.8.1.6
Manes.06G061700	AT2G01290.1	5.3.1.6
Manes.11G153700	AT2G27920.1	3.4.16.5
Manes.S027400	AT3G19450.1	1.1.1.195
Manes.12G030300	AT1G23820.1	2.5.1.16
Manes.S094200	AT3G29360.1	1.1.1.22
Manes.03G099600	AT1G78680.1	3.4.19.9
Manes.18G136400	AT2G30020.1	3.1.3.16
Manes.S025100	AT4G36760.1	3.4.11.9
Manes.06G100200	AT1G74920.1	1.2.1.8
Manes.02G161800	AT1G44820.1	3.5.1.14
Manes.12G039400	AT2G20300.1	2.7.11.1
Manes.14G118100	AT5G20410.1	2.4.1.46
Manes.05G108200	AT5G61240.1	2.7.11.1
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.01G017300	AT2G43790.1	2.7.11.24
Manes.03G001100	AT4G31300.1	3.4.25.1
Manes.02G119300	AT2G29960.1	5.2.1.8
Manes.02G101600	AT4G38970.1	4.1.2.13
Manes.01G080800	AT4G17300.1	6.1.1.22
Manes.08G117500	AT3G05510.1	2.3.1.23
Manes.13G149900	AT2G20860.1	2.8.1.8
Manes.04G085600	AT4G39090.1	3.4.22.41
Manes.02G038200	AT4G17260.1	1.1.1.27
Manes.05G070500	AT3G63010.1	3.1.1.1
Manes.10G095900	AT2G14170.1	1.2.1.27
Manes.17G085500	AT1G67980.1	2.1.1.104
Manes.17G026300	AT1G11840.6	4.4.1.5
Manes.04G078800	AT4G38800.1	3.2.2.16
Manes.02G163300	AT3G26430.1	3.2.1.51
Manes.08G162200	AT2G40840.1	2.4.1.25
Manes.06G152500	AT4G25720.1	2.3.2.5
Manes.09G158200	AT1G54570.1	2.3.1.20,2.3.1.22
Manes.06G027900	AT4G39850.1	3.6.3.47
Manes.04G094200	AT5G13930.1	2.3.1.74
Manes.13G147900	AT4G02340.1	3.3.2.10
Manes.15G069200	AT4G26910.2	2.3.1.61
Manes.11G094900	AT5G66140.1	3.4.25.1
Manes.11G154400	AT5G22860.1	3.4.16.2
Manes.08G127300	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.11G144400	AT3G09770.1	6.3.2.19
Manes.08G162700	AT3G03100.1	1.6.5.3
Manes.02G090500	AT2G43020.1	1.5.3.17
Manes.S029900	AT4G38690.1	3.1.4.11,4.6.1.13
Manes.03G039700	AT2G06050.3	1.3.1.42
Manes.15G115900	AT5G45670.1	3.1.1.3
Manes.08G117200	AT3G05530.1	3.4.25.1
Manes.S110800	AT3G29320.1	2.4.1.1
Manes.08G032100	AT3G52500.1	3.4.23.12
Manes.15G068900	AT1G11910.1	3.4.23.40
Manes.S012900	AT1G05690.1	2.3.1.48
Manes.04G101700	AT5G48930.1	2.3.1.133
Manes.05G081100	AT1G19670.1	3.1.1.14
Manes.02G147600	AT4G24380.1	1.5.1.3
Manes.18G003300	AT1G42970.1	1.2.1.12,1.2.1.13
Manes.18G019500	AT5G66460.1	3.2.1.78
Manes.12G011700	AT5G11860.1	3.1.3.16
Manes.05G081000	AT1G19670.1	3.1.1.14
Manes.02G104700	AT3G51240.1	1.14.11.9
Manes.03G081200	AT3G19820.2	1.3.1.72
Manes.14G145700	AT4G25810.1	2.4.1.207
Manes.13G107100	AT5G65730.1	2.4.1.207,3.2.1.151
Manes.10G076700	AT3G19450.1	1.1.1.195
Manes.15G110600	AT1G55510.1	1.2.4.4
Manes.06G082100	AT3G08900.1	5.4.99.30
Manes.02G178700	AT1G43670.1	3.1.3.11
Manes.10G045200	AT1G48850.1	4.2.3.5
Manes.11G112600	AT5G21105.1	1.10.3.3
Manes.16G006100	AT1G11840.6	4.4.1.5
Manes.09G179800	AT1G56700.2	3.4.19.3
Manes.18G041100	AT5G43060.1	3.4.22.14
Manes.08G069100	AT3G22200.1	2.6.1.96,2.6.1.19
Manes.04G130600	AT3G16175.1	3.1.2.20
Manes.02G154700	AT1G78060.1	3.2.1.37
Manes.08G052000	AT2G41530.1	3.1.2.12
Manes.13G102500	AT4G37970.1	1.1.1.195
Manes.12G132300	AT1G22380.1	2.4.1.85
Manes.S055900	AT4G25810.1	2.4.1.207
Manes.18G022300	AT5G42800.1	1.1.1.219
Manes.01G038600	AT5G24400.1	3.1.1.31
Manes.05G056000	AT4G09320.1	2.7.4.6
Manes.15G040800	AT5G43330.1	1.1.1.37
Manes.01G106600	AT3G02470.4	4.1.1.50
Manes.12G076800	AT4G03210.1	2.4.1.207
Manes.14G145800	AT4G25810.1	2.4.1.207
Manes.01G011500	AT5G38410.2	4.1.1.39
Manes.12G124000	AT4G37980.1	1.1.1.195
Manes.18G060100	AT1G09750.1	3.4.23.12
Manes.04G026800	AT1G07890.5	1.11.1.11
