Pathway-id	Pathway-name	Reaction-id	EC	Protein-id	Protein-name	Gene-id	Gene-name
PWY-381	nitrate reduction II (assimilatory)	FERREDOXIN--NITRITE-REDUCTASE-RXN	EC-1.7.7.1	G2Z-9893-MONOMER	ferredoxin--nitrite reductase	G2Z-9893	Manes.10G071700
PWY-381	nitrate reduction II (assimilatory)	GLUTAMINESYN-RXN	EC-6.3.1.2	G2Z-6576-MONOMER	glutamine synthetase	G2Z-6576	Manes.01G119500
PWY-381	nitrate reduction II (assimilatory)	GLUTAMINESYN-RXN	EC-6.3.1.2	G2Z-7014-MONOMER	glutamine synthetase	G2Z-7014	Manes.02G077900
PWY-381	nitrate reduction II (assimilatory)	GLUTAMINESYN-RXN	EC-6.3.1.2	G2Z-7690-MONOMER	glutamine synthetase	G2Z-7690	Manes.03G186600
PWY-381	nitrate reduction II (assimilatory)	GLUTAMINESYN-RXN	EC-6.3.1.2	G2Z-7855-MONOMER	glutamine synthetase	G2Z-7855	Manes.04G061000
PWY-381	nitrate reduction II (assimilatory)	GLUTAMINESYN-RXN	EC-6.3.1.2	G2Z-9127-MONOMER	glutamine synthetase	G2Z-9127	Manes.08G013600
PWY-381	nitrate reduction II (assimilatory)	GLUTAMINESYN-RXN	EC-6.3.1.2	G2Z-9128-MONOMER	glutamine synthetase	G2Z-9128	Manes.08G013700
PWY-381	nitrate reduction II (assimilatory)	NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1	G2Z-12360-MONOMER	nitrate reductase	G2Z-12360	Manes.18G073100
PWY-381	nitrate reduction II (assimilatory)	NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1	G2Z-12626-MONOMER	nitrate reductase	G2Z-12626	Manes.S076700
PWY-381	nitrate reduction II (assimilatory)	NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1	G2Z-12627-MONOMER	nitrate reductase	G2Z-12627	Manes.S076800
PWY-381	nitrate reduction II (assimilatory)	NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1	G2Z-12629-MONOMER	nitrate reductase	G2Z-12629	Manes.S077300
PWY-381	nitrate reduction II (assimilatory)	NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1	G2Z-12685-MONOMER	nitrate reductase	G2Z-12685	Manes.S112700
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-6723-MONOMER	indoleglycerol phosphate aldolase	G2Z-6723	Manes.01G202100
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-6994-MONOMER	indoleglycerol phosphate aldolase	G2Z-6994	Manes.02G064500
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-7560-MONOMER	indoleglycerol phosphate aldolase	G2Z-7560	Manes.03G127600
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-8210-MONOMER	indoleglycerol phosphate aldolase	G2Z-8210	Manes.05G084000
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-11465-MONOMER	indoleglycerol phosphate aldolase	G2Z-11465	Manes.15G074600
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-11718-MONOMER	indoleglycerol phosphate aldolase	G2Z-11718	Manes.16G010900
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-11719-MONOMER	indoleglycerol phosphate aldolase	G2Z-11719	Manes.16G011000
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2381	EC-4.1.2.8	G2Z-12035-MONOMER	indoleglycerol phosphate aldolase	G2Z-12035	Manes.17G036500
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-6723-MONOMER	tryptophan synthase	G2Z-6723	Manes.01G202100
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-6994-MONOMER	tryptophan synthase	G2Z-6994	Manes.02G064500
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-7560-MONOMER	tryptophan synthase	G2Z-7560	Manes.03G127600
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-8210-MONOMER	tryptophan synthase	G2Z-8210	Manes.05G084000
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-11465-MONOMER	tryptophan synthase	G2Z-11465	Manes.15G074600
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-11718-MONOMER	tryptophan synthase	G2Z-11718	Manes.16G010900
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-11719-MONOMER	tryptophan synthase	G2Z-11719	Manes.16G011000
TRPSYN-PWY	L-tryptophan biosynthesis	RXN0-2382	EC-4.2.1.122	G2Z-12035-MONOMER	tryptophan synthase	G2Z-12035	Manes.17G036500
TRPSYN-PWY	L-tryptophan biosynthesis	ANTHRANSYN-RXN	EC-4.1.3.27	G2Z-6664-MONOMER	anthranilate synthase	G2Z-6664	Manes.01G162800
TRPSYN-PWY	L-tryptophan biosynthesis	ANTHRANSYN-RXN	EC-4.1.3.27	G2Z-11590-MONOMER	anthranilate synthase	G2Z-11590	Manes.15G137900
TRPSYN-PWY	L-tryptophan biosynthesis	ANTHRANSYN-RXN	EC-4.1.3.27	G2Z-12128-MONOMER	anthranilate synthase	G2Z-12128	Manes.17G087200
TRPSYN-PWY	L-tryptophan biosynthesis	PRTRANS-RXN	EC-2.4.2.18	G2Z-8661-MONOMER	anthranilate phosphoribosyl transferase	G2Z-8661	Manes.06G106300
TRPSYN-PWY	L-tryptophan biosynthesis	PRTRANS-RXN	EC-2.4.2.18	G2Z-11098-MONOMER	anthranilate phosphoribosyl transferase	G2Z-11098	Manes.14G064000
TRPSYN-PWY	L-tryptophan biosynthesis	PRAISOM-RXN	EC-5.3.1.24	G2Z-9779-MONOMER	phosphoribosylanthranilate isomerase	G2Z-9779	Manes.10G011400
TRPSYN-PWY	L-tryptophan biosynthesis	IGPSYN-RXN	EC-4.1.1.48	G2Z-10468-MONOMER	indole-3-glycerol phosphate synthase	G2Z-10468	Manes.12G063800
TRPSYN-PWY	L-tryptophan biosynthesis	IGPSYN-RXN	EC-4.1.1.48	G2Z-10469-MONOMER	indole-3-glycerol phosphate synthase	G2Z-10469	Manes.12G063900
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15333	EC-2.4.1	unknown	unknown	unknown	unknown
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15332	EC-2.3.1	unknown	unknown	unknown	unknown
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15331	EC-2.3.1	G2Z-6527-MONOMER	cyanidin 3-<i>O</i>-[2\"-<i>O</i>-(xylosyl)-6\"-<i>O</i>-(p-coumaroyl) glucoside] 5-<i>O</i>-glucoside malonyltransferase	G2Z-6527	Manes.01G095200
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15330	EC-2.4.1	unknown	unknown	unknown	unknown
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15329	EC-2.3.1	unknown	unknown	unknown	unknown
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15328	EC-2.4.2	G2Z-7530-MONOMER	cyanidin 3-<i>O</i>-p-coumaroylglucoside 2-<i>O\"</i>-xylosyltransferase	G2Z-7530	Manes.03G104400
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15328	EC-2.4.2	G2Z-9459-MONOMER	cyanidin 3-<i>O</i>-p-coumaroylglucoside 2-<i>O\"</i>-xylosyltransferase	G2Z-9459	Manes.09G018900
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15327	EC-2.3.1	unknown	unknown	unknown	unknown
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15326	EC-2.4.2.51	G2Z-7530-MONOMER	cyanidin 3-<i>O</i>-glucoside 2''-<i>O</i>-xylosyltransferase	G2Z-7530	Manes.03G104400
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN-15326	EC-2.4.2.51	G2Z-9459-MONOMER	cyanidin 3-<i>O</i>-glucoside 2''-<i>O</i>-xylosyltransferase	G2Z-9459	Manes.09G018900
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-12530-MONOMER		G2Z-12530	Manes.S025000
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-12277-MONOMER		G2Z-12277	Manes.18G029400
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-10926-MONOMER		G2Z-10926	Manes.13G136600
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-10758-MONOMER		G2Z-10758	Manes.13G051300
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-9971-MONOMER		G2Z-9971	Manes.10G121800
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-9940-MONOMER		G2Z-9940	Manes.10G097000
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-9417-MONOMER		G2Z-9417	Manes.08G163200
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-8863-MONOMER		G2Z-8863	Manes.07G018800
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-8862-MONOMER		G2Z-8862	Manes.07G018700
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-8861-MONOMER		G2Z-8861	Manes.07G018600
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-8860-MONOMER		G2Z-8860	Manes.07G018500
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-8859-MONOMER		G2Z-8859	Manes.07G018400
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-8858-MONOMER		G2Z-8858	Manes.07G018200
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-8521-MONOMER		G2Z-8521	Manes.06G030100
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-7875-MONOMER		G2Z-7875	Manes.04G072200
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	RXN1F-775	EC-2.4.1.115	G2Z-7361-MONOMER		G2Z-7361	Manes.03G024700
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-7355-MONOMER	enoyl-CoA isomerase	G2Z-7355	Manes.03G022900
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-7656-MONOMER	enoyl-CoA isomerase	G2Z-7656	Manes.03G167000
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-7702-MONOMER	enoyl-CoA isomerase	G2Z-7702	Manes.03G197400
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-9054-MONOMER	enoyl-CoA isomerase	G2Z-9054	Manes.07G113600
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-9815-MONOMER	enoyl-CoA isomerase	G2Z-9815	Manes.10G032900
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-11342-MONOMER	enoyl-CoA isomerase	G2Z-11342	Manes.15G011200
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-11387-MONOMER	enoyl-CoA isomerase	G2Z-11387	Manes.15G038400
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7836	EC-5.3.3.8	G2Z-11937-MONOMER	enoyl-CoA isomerase	G2Z-11937	Manes.16G113900
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12521	EC-1.3.1.34	unknown	unknown	unknown	unknown
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12520	EC-5.3.3	G2Z-10357-MONOMER	&Delta;3,5-&Delta;2,4-dienoyl-CoA isomerase	G2Z-10357	Manes.12G006600
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12519	EC-5.3.3.8	unknown	unknown	unknown	unknown
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12518	EC-1.3.3.6	G2Z-9289-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-9289	Manes.08G093200
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12518	EC-1.3.3.6	G2Z-10518-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-10518	Manes.12G092800
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12518	EC-1.3.3.6	G2Z-10602-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-10602	Manes.12G137000
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-8398-MONOMER	asparaginase	G2Z-8398	Manes.05G177500
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-8610-MONOMER	asparaginase	G2Z-8610	Manes.06G081300
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-10470-MONOMER	asparaginase	G2Z-10470	Manes.12G065000
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-12301-MONOMER	asparaginase	G2Z-12301	Manes.18G041700
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-7733-MONOMER	asparaginase	G2Z-7733	Manes.04G000700
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-9503-MONOMER	asparaginase	G2Z-9503	Manes.09G051000
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-10339-MONOMER	asparaginase	G2Z-10339	Manes.11G164700
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	RXN-12386	EC-2.7.8	G2Z-7948-MONOMER	phosphatidylcholine:diacylglycerol cholinephosphotransferase	G2Z-7948	Manes.04G112600
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	RXN-12386	EC-2.7.8	G2Z-10153-MONOMER	phosphatidylcholine:diacylglycerol cholinephosphotransferase	G2Z-10153	Manes.11G056900
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	RXN-5781	EC-2.7.8.2	G2Z-8604-MONOMER	diacylglycerol cholinephosphotransferase	G2Z-8604	Manes.06G076700
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	RXN-5781	EC-2.7.8.2	G2Z-11155-MONOMER	diacylglycerol cholinephosphotransferase	G2Z-11155	Manes.14G094200
PWY-7170	phytochromobilin biosynthesis	RXN-17523	EC-1.14.15.20	unknown	unknown	unknown	unknown
PWY-7170	phytochromobilin biosynthesis	RXN-13968	EC-5.2.1	unknown	unknown	unknown	unknown
PWY-7170	phytochromobilin biosynthesis	1.3.7.4-RXN	EC-1.3.7.4	G2Z-7158-MONOMER	phytochromobilin:ferredoxin oxidoreductase	G2Z-7158	Manes.02G142200
PANTO-PWY	phosphopantothenate biosynthesis I	PANTOTHENATE-KIN-RXN	EC-2.7.1.33	G2Z-8659-MONOMER	pantothenate kinase	G2Z-8659	Manes.06G105400
PANTO-PWY	phosphopantothenate biosynthesis I	PANTOTHENATE-KIN-RXN	EC-2.7.1.33	G2Z-10398-MONOMER	pantothenate kinase	G2Z-10398	Manes.12G027500
PANTO-PWY	phosphopantothenate biosynthesis I	PANTOTHENATE-KIN-RXN	EC-2.7.1.33	G2Z-10720-MONOMER	pantothenate kinase	G2Z-10720	Manes.13G029200
PANTO-PWY	phosphopantothenate biosynthesis I	PANTOTHENATE-KIN-RXN	EC-2.7.1.33	G2Z-11099-MONOMER	pantothenate kinase	G2Z-11099	Manes.14G065200
PANTO-PWY	phosphopantothenate biosynthesis I	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11	G2Z-8099-MONOMER	3-methyl-2-oxobutanoate hydroxymethyltransferase	G2Z-8099	Manes.05G029300
PANTO-PWY	phosphopantothenate biosynthesis I	2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169	unknown	unknown	unknown	unknown
PANTO-PWY	phosphopantothenate biosynthesis I	PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1	G2Z-10425-MONOMER	pantothenate synthetase	G2Z-10425	Manes.12G040900
PANTO-PWY	phosphopantothenate biosynthesis I	PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1	G2Z-10426-MONOMER	pantothenate synthetase	G2Z-10426	Manes.12G041500
PWY-5049	rosmarinic acid biosynthesis II	RXN-7633	EC-2.3.1.140	unknown	unknown	unknown	unknown
PWY-5049	rosmarinic acid biosynthesis II	RXN-7632	EC-1.1.1.237	G2Z-7977-MONOMER	hydroxyphenyllactate dehydrogenase	G2Z-7977	Manes.04G129400
PWY-5049	rosmarinic acid biosynthesis II	RXN-7632	EC-1.1.1.237	G2Z-7978-MONOMER	hydroxyphenyllactate dehydrogenase	G2Z-7978	Manes.04G129500
PWY-5049	rosmarinic acid biosynthesis II	RXN-7632	EC-1.1.1.237	G2Z-7979-MONOMER	hydroxyphenyllactate dehydrogenase	G2Z-7979	Manes.04G129600
PWY-5049	rosmarinic acid biosynthesis II	RXN-7632	EC-1.1.1.237	G2Z-10112-MONOMER	hydroxyphenyllactate dehydrogenase	G2Z-10112	Manes.11G037900
PWY-5049	rosmarinic acid biosynthesis II	2.6.1.49-RXN	EC-2.6.1.49	unknown	unknown	unknown	unknown
PWY-5049	rosmarinic acid biosynthesis II	TYROSINE-3-MONOOXYGENASE-RXN	EC-1.14.16.2	unknown	unknown	unknown	unknown
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5781	EC-2.7.8.2	G2Z-8604-MONOMER	diacylglycerol cholinephosphotransferase	G2Z-8604	Manes.06G076700
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5781	EC-2.7.8.2	G2Z-11155-MONOMER	diacylglycerol cholinephosphotransferase	G2Z-11155	Manes.14G094200
PWY4FS-2	phosphatidylcholine biosynthesis II	2.7.7.15-RXN	EC-2.7.7.15	G2Z-7470-MONOMER	CTP:phosphocholine cytidylyltransferase	G2Z-7470	Manes.03G074300
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5642	EC-2.1.1.103	G2Z-8478-MONOMER	N-methylphosphoethanolamine N-methyltransferase	G2Z-8478	Manes.06G007100
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5642	EC-2.1.1.103	G2Z-11312-MONOMER	N-methylphosphoethanolamine N-methyltransferase	G2Z-11312	Manes.14G171000
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5643	EC-2.1.1.103	G2Z-7643-MONOMER	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase	G2Z-7643	Manes.03G163500
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5643	EC-2.1.1.103	G2Z-8478-MONOMER	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase	G2Z-8478	Manes.06G007100
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5643	EC-2.1.1.103	G2Z-9224-MONOMER	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase	G2Z-9224	Manes.08G056400
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5643	EC-2.1.1.103	G2Z-9804-MONOMER	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase	G2Z-9804	Manes.10G026200
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5643	EC-2.1.1.103	G2Z-11312-MONOMER	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase	G2Z-11312	Manes.14G171000
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5643	EC-2.1.1.103	G2Z-11396-MONOMER	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase	G2Z-11396	Manes.15G041600
PWY4FS-2	phosphatidylcholine biosynthesis II	RXN-5643	EC-2.1.1.103	G2Z-12186-MONOMER	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase	G2Z-12186	Manes.17G110500
PWY4FS-2	phosphatidylcholine biosynthesis II	2.1.1.103-RXN	EC-2.1.1.103	G2Z-7643-MONOMER	phosphoethanolamine N-methyltransferase	G2Z-7643	Manes.03G163500
PWY4FS-2	phosphatidylcholine biosynthesis II	2.1.1.103-RXN	EC-2.1.1.103	G2Z-8478-MONOMER	phosphoethanolamine N-methyltransferase	G2Z-8478	Manes.06G007100
PWY4FS-2	phosphatidylcholine biosynthesis II	2.1.1.103-RXN	EC-2.1.1.103	G2Z-9224-MONOMER	phosphoethanolamine N-methyltransferase	G2Z-9224	Manes.08G056400
PWY4FS-2	phosphatidylcholine biosynthesis II	2.1.1.103-RXN	EC-2.1.1.103	G2Z-9804-MONOMER	phosphoethanolamine N-methyltransferase	G2Z-9804	Manes.10G026200
PWY4FS-2	phosphatidylcholine biosynthesis II	2.1.1.103-RXN	EC-2.1.1.103	G2Z-11312-MONOMER	phosphoethanolamine N-methyltransferase	G2Z-11312	Manes.14G171000
PWY4FS-2	phosphatidylcholine biosynthesis II	2.1.1.103-RXN	EC-2.1.1.103	G2Z-11396-MONOMER	phosphoethanolamine N-methyltransferase	G2Z-11396	Manes.15G041600
PWY4FS-2	phosphatidylcholine biosynthesis II	2.1.1.103-RXN	EC-2.1.1.103	G2Z-12186-MONOMER	phosphoethanolamine N-methyltransferase	G2Z-12186	Manes.17G110500
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-7226	-	unknown	unknown	unknown	unknown
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-7221	-	unknown	unknown	unknown	unknown
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-7219	-	unknown	unknown	unknown	unknown
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-7227	-	unknown	unknown	unknown	unknown
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-6124	-	unknown	unknown	unknown	unknown
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-6121	-	unknown	unknown	unknown	unknown
PWY-7560	methylerythritol phosphate pathway II	IPPISOM-RXN	EC-5.3.3.2	G2Z-10172-MONOMER	isopentenyl-diphosphate &Delta;-isomerase	G2Z-10172	Manes.11G069700
PWY-7560	methylerythritol phosphate pathway II	IPPISOM-RXN	EC-5.3.3.2	G2Z-10353-MONOMER	isopentenyl-diphosphate &Delta;-isomerase	G2Z-10353	Manes.12G005500
PWY-7560	methylerythritol phosphate pathway II	IPPISOM-RXN	EC-5.3.3.2	G2Z-10667-MONOMER	isopentenyl-diphosphate &Delta;-isomerase	G2Z-10667	Manes.13G005300
PWY-7560	methylerythritol phosphate pathway II	2.7.7.60-RXN	EC-2.7.7.60	G2Z-11268-MONOMER	4-diphosphocytidyl-2C-methyl-D-erythritol synthase	G2Z-11268	Manes.14G146200
PWY-7560	methylerythritol phosphate pathway II	2.7.7.60-RXN	EC-2.7.7.60	G2Z-11302-MONOMER	4-diphosphocytidyl-2C-methyl-D-erythritol synthase	G2Z-11302	Manes.14G166900
