PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-12518	EC-1.3.3.6	G2Z-10518-MONOMER	fatty-acyl coenzyme A oxidase	G2Z-10518	Manes.12G092800
PWY-1042	glycolysis IV (plant cytosol)	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
PWY-1042	glycolysis IV (plant cytosol)	2.7.1.90-RXN	EC-2.7.1.90	G2Z-8288-MONOMER	diphosphate:fructose-6-phosphate 1-phosphotransferase	G2Z-8288	Manes.05G129500
PWY-2501	"fatty acid &alpha;-oxidation I"	RXN-4142	EC-1.2.1.3	G2Z-11331-MONOMER		G2Z-11331	Manes.15G004800
GLUTATHIONESYN-PWY	glutathione biosynthesis	GLUTCYSLIG-RXN	EC-6.3.2.2	G2Z-6908-MONOMER	"glutamate&mdash;cysteine ligase"	G2Z-6908	Manes.02G022200
VALSYN-PWY	L-valine biosynthesis	ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86	G2Z-10929-MONOMER	(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate:NADP<sup>+</sup> oxidoreductase (isomerizing)	G2Z-10929	Manes.13G137600
VALSYN-PWY	L-valine biosynthesis	ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86	G2Z-11770-MONOMER	(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate:NADP<sup>+</sup> oxidoreductase (isomerizing)	G2Z-11770	Manes.16G038300
VALSYN-PWY	L-valine biosynthesis	ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86	G2Z-12064-MONOMER	(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate:NADP<sup>+</sup> oxidoreductase (isomerizing)	G2Z-12064	Manes.17G055100
PWY-7238	sucrose biosynthesis II	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
NONMEVIPP-PWY	methylerythritol phosphate pathway I	IPPISOM-RXN	EC-5.3.3.2	G2Z-10353-MONOMER	"isopentenyl-diphosphate &Delta;-isomerase"	G2Z-10353	Manes.12G005500
PWY-922	mevalonate pathway I	IPPISOM-RXN	EC-5.3.3.2	G2Z-10353-MONOMER	"isopentenyl-diphosphate &Delta;-isomerase"	G2Z-10353	Manes.12G005500
PWY-5945	violaxanthin, antheraxanthin and zeaxanthin interconversion	RXN-7979	-	G2Z-11253-MONOMER	antheraxanthin epoxidase	G2Z-11253	Manes.14G141400
PWY-5945	violaxanthin, antheraxanthin and zeaxanthin interconversion	RXN-7978	-	G2Z-11253-MONOMER	zeaxanthin epoxidase	G2Z-11253	Manes.14G141400
PWY-4661	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4	G2Z-10819-MONOMER	inositol-3-phosphate synthase	G2Z-10819	Manes.13G091100
PWY1F-353	glycine betaine biosynthesis III (plants)	BADH-RXN	EC-1.2.1.8	G2Z-8647-MONOMER	betaine aldehyde dehydrogenase	G2Z-8647	Manes.06G100200
PWY1F-353	glycine betaine biosynthesis III (plants)	BADH-RXN	EC-1.2.1.8	G2Z-10808-MONOMER	betaine aldehyde dehydrogenase	G2Z-10808	Manes.13G085600
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	RXN-11322	EC-4.3.3.6	G2Z-9610-MONOMER	pyridoxal 5'-phosphate synthase	G2Z-9610	Manes.09G105200
PWY-3841	folate transformations II	1.5.1.20-RXN	EC-1.5.1.20	G2Z-6356-MONOMER	5,10-methylenetetrahydrofolate reductase	G2Z-6356	Manes.01G008800
PWY-1061	homogalacturonan biosynthesis	2.4.1.43-RXN	EC-2.4.1.43	G2Z-9628-MONOMER	UDP-D-galacturonate:1,4-a-poly-D-galacturonate 4-a-D-galacturonosyltransferase	G2Z-9628	Manes.09G119300
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10	G2Z-7444-MONOMER		G2Z-7444	Manes.03G060800
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12	G2Z-9209-MONOMER	<i>S</i>-formylglutathione hydrolase	G2Z-9209	Manes.08G052000
PWY1F-467	phenylpropanoid biosynthesis, initial reactions	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-7772-MONOMER	phenylalanine ammonia-lyase	G2Z-7772	Manes.04G018000
PWY1F-467	phenylpropanoid biosynthesis, initial reactions	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9032-MONOMER	phenylalanine ammonia-lyase	G2Z-9032	Manes.07G098700
PWY1F-467	phenylpropanoid biosynthesis, initial reactions	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9114-MONOMER	phenylalanine ammonia-lyase	G2Z-9114	Manes.08G008400
PWY1F-467	phenylpropanoid biosynthesis, initial reactions	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9841-MONOMER	phenylalanine ammonia-lyase	G2Z-9841	Manes.10G047500
PWY-6443	"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)"	RXN-11272	-	G2Z-12437-MONOMER		G2Z-12437	Manes.18G111000
LIPAS-PWY	triacylglycerol degradation	TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3	G2Z-7086-MONOMER	TGL1	G2Z-7086	Manes.02G107900
LIPAS-PWY	triacylglycerol degradation	TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3	G2Z-7697-MONOMER	TGL1	G2Z-7697	Manes.03G191800
LIPAS-PWY	triacylglycerol degradation	TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3	G2Z-9375-MONOMER	TGL1	G2Z-9375	Manes.08G142400
LIPAS-PWY	triacylglycerol degradation	TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3	G2Z-9682-MONOMER	TGL1	G2Z-9682	Manes.09G145900
LIPAS-PWY	triacylglycerol degradation	TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3	G2Z-11347-MONOMER	TGL1	G2Z-11347	Manes.15G015900
PWY-3881	mannitol biosynthesis	MANNITOL-1-PHOSPHATASE-RXN	EC-3.1.3.22	G2Z-7444-MONOMER		G2Z-7444	Manes.03G060800
PWY-641	proanthocyanidins biosynthesis from flavanols	RXN-10693	EC-1.3.1.77	G2Z-11729-MONOMER	anthocyanidin reductase	G2Z-11729	Manes.16G016400
PWY1F-FLAVSYN	flavonoid biosynthesis	NARINGENIN-3-DIOXYGENASE-RXN	EC-1.14.11.9	G2Z-6421-MONOMER		G2Z-6421	Manes.01G043500
PWY1F-FLAVSYN	flavonoid biosynthesis	NARINGENIN-CHALCONE-SYNTHASE-RXN	EC-2.3.1.74	G2Z-7915-MONOMER	naringenin-chalcone synthase	G2Z-7915	Manes.04G094200
PWY1F-FLAVSYN	flavonoid biosynthesis	NARINGENIN-CHALCONE-SYNTHASE-RXN	EC-2.3.1.74	G2Z-10179-MONOMER	naringenin-chalcone synthase	G2Z-10179	Manes.11G075100
PWY-6787	flavonoid biosynthesis (in equisetum)	NARINGENIN-3-DIOXYGENASE-RXN	EC-1.14.11.9	G2Z-6421-MONOMER		G2Z-6421	Manes.01G043500
PWY-6787	flavonoid biosynthesis (in equisetum)	NARINGENIN-CHALCONE-SYNTHASE-RXN	EC-2.3.1.74	G2Z-7915-MONOMER	naringenin-chalcone synthase	G2Z-7915	Manes.04G094200
PWY-6787	flavonoid biosynthesis (in equisetum)	NARINGENIN-CHALCONE-SYNTHASE-RXN	EC-2.3.1.74	G2Z-10179-MONOMER	naringenin-chalcone synthase	G2Z-10179	Manes.11G075100
PWY0-662	PRPP biosynthesis I	PRPPSYN-RXN	EC-2.7.6.1	G2Z-8167-MONOMER	ribose-phosphate diphosphokinase	G2Z-8167	Manes.05G060700
PWY-6792	scopoletin biosynthesis	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-8976-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-8976	Manes.07G075700
PWY-6792	scopoletin biosynthesis	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-10897-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-10897	Manes.13G122600
PWY-622	starch biosynthesis	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	RXN0-1461	EC-1.3.3.3	G2Z-11692-MONOMER	coproporphyrinogen III oxidase	G2Z-11692	Manes.16G000600
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	UROGENDECARBOX-RXN	EC-4.1.1.37	G2Z-9765-MONOMER	uroporphyrinogen decarboxylase	G2Z-9765	Manes.10G005300
PWY-4702	phytate degradation I	RXN0-5408	EC-3.1.3.25	G2Z-7900-MONOMER	inositol-phosphate phosphatase	G2Z-7900	Manes.04G087000
PWY-4702	phytate degradation I	RXN-7253	EC-3.1.3.25	G2Z-7900-MONOMER		G2Z-7900	Manes.04G087000
PWY-6754	<i>S</i>-methyl-5'-thioadenosine degradation I	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.16	G2Z-7888-MONOMER	5'-methylthioadenosine nucleosidase	G2Z-7888	Manes.04G078800
PWY-621	sucrose degradation III (sucrose invertase)	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
PWY-3781	aerobic respiration I (cytochrome c)	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	G2Z-12182-MONOMER	succinate:quinone oxidoreductase	G2Z-12182	Manes.17G108500
PWY-3781	aerobic respiration I (cytochrome c)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-9225-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-9225	Manes.08G056700
PWY-3781	aerobic respiration I (cytochrome c)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10367-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10367	Manes.12G014300
PWY-3781	aerobic respiration I (cytochrome c)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10416-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10416	Manes.12G038400
PWY-3781	aerobic respiration I (cytochrome c)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10738-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10738	Manes.13G039100
PWY-2301	<i>myo</i>-inositol biosynthesis	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25	G2Z-7900-MONOMER	inositol-1(or 4)-monophosphatase	G2Z-7900	Manes.04G087000
PWY-2301	<i>myo</i>-inositol biosynthesis	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4	G2Z-10819-MONOMER	inositol-3-phosphate synthase	G2Z-10819	Manes.13G091100
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	RXNQT-4142	EC-3.1.3.93	G2Z-7900-MONOMER	L-galactose-1-phosphate phosphatase	G2Z-7900	Manes.04G087000
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	RXNQT-4142	EC-3.1.3.93	G2Z-7444-MONOMER		G2Z-7444	Manes.03G060800
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	GALACTONOLACTONE-DEHYDROGENASE-RXN	EC-1.3.2.3	G2Z-9225-MONOMER	L-galactono-1,4-lactone dehydrogenase	G2Z-9225	Manes.08G056700
PWY-5340	sulfate activation for sulfonation	SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4	G2Z-11378-MONOMER	sulfate adenylyltransferase	G2Z-11378	Manes.15G033600
PWY-5350	thiosulfate disproportionation IV (rhodanese)	THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1	G2Z-10986-MONOMER	thiosulfate sulfurtransferase	G2Z-10986	Manes.14G010300
PWY-6922	"L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis"	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-12092-MONOMER		G2Z-12092	Manes.17G072300
PWY-6922	"L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis"	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-11561-MONOMER		G2Z-11561	Manes.15G123600
PWY-5800	xylan biosynthesis	RXN-9104	EC-2.4.2.24	G2Z-9109-MONOMER	"&alpha;-xylosyltransferase"	G2Z-9109	Manes.08G003900
PWY-181	photorespiration	GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29	G2Z-7882-MONOMER	hydroxypyruvate reductase	G2Z-7882	Manes.04G076300
PWY-5136	"fatty acid &beta;-oxidation II (peroxisome)"	RXN-11026	EC-1.3.3.6	G2Z-6954-MONOMER	acyl-CoA oxidase	G2Z-6954	Manes.02G041600
PWY-5136	"fatty acid &beta;-oxidation II (peroxisome)"	RXN-11026	EC-1.3.3.6	G2Z-10518-MONOMER	acyl-CoA oxidase	G2Z-10518	Manes.12G092800
PWY-5136	"fatty acid &beta;-oxidation II (peroxisome)"	KETOACYLCOATHIOL-RXN	EC-2.3.1.16	G2Z-7614-MONOMER	3-ketoacyl-CoA thiolase	G2Z-7614	Manes.03G150200
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	1.2.4.4-RXN	EC-1.2.4.4	G2Z-11533-MONOMER	3-methyl-2-oxobutanoate dehydrogenase	G2Z-11533	Manes.15G110600
GLUTORN-PWY	L-ornithine biosynthesis I	ACETYLORNDEACET-RXN	EC-3.5.1.16	G2Z-11999-MONOMER	acetylornithine deacetylase	G2Z-11999	Manes.17G013000
PWY-43	putrescine biosynthesis II	AGMATINE-DEIMINASE-RXN	EC-3.5.3.12	G2Z-6396-MONOMER	agmatine deaminase	G2Z-6396	Manes.01G023900
PWY-43	putrescine biosynthesis II	ARGDECARBOX-RXN	EC-4.1.1.19	G2Z-7891-MONOMER	arginine decarboxylase, biosynthetic	G2Z-7891	Manes.04G083000
PWY-43	putrescine biosynthesis II	ARGDECARBOX-RXN	EC-4.1.1.19	G2Z-10194-MONOMER	arginine decarboxylase, biosynthetic	G2Z-10194	Manes.11G081600
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	CARBPSYN-RXN	EC-6.3.5.5	G2Z-7779-MONOMER	carbamoyl phosphate synthetase	G2Z-7779	Manes.04G025400
PWY-5686	UMP biosynthesis I	CARBPSYN-RXN	EC-6.3.5.5	G2Z-7779-MONOMER	carbamoyl phosphate synthetase	G2Z-7779	Manes.04G025400
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	CARBPSYN-RXN	EC-6.3.5.5	G2Z-7779-MONOMER	carbamoyl phosphate synthetase	G2Z-7779	Manes.04G025400
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-12092-MONOMER		G2Z-12092	Manes.17G072300
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-11561-MONOMER		G2Z-11561	Manes.15G123600
PWY-4984	urea cycle	RXN-13202	EC-6.3.4.16	G2Z-7779-MONOMER	ammonia-dependent carbamoyl-phosphate synthase	G2Z-7779	Manes.04G025400
PWY-2161B	glutamate removal from folates	RXN-3741	EC-3.4.19.9	G2Z-7520-MONOMER	Folatepolyglutamate<sub>(n)</sub>	G2Z-7520	Manes.03G099600
PWY-4302	aerobic respiration III (alternative oxidase pathway)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-9225-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-9225	Manes.08G056700
PWY-4302	aerobic respiration III (alternative oxidase pathway)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10367-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10367	Manes.12G014300
PWY-4302	aerobic respiration III (alternative oxidase pathway)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10416-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10416	Manes.12G038400
PWY-4302	aerobic respiration III (alternative oxidase pathway)	NADH-DEHYDROG-A-RXN	EC-1.6.5.3	G2Z-10738-MONOMER	NADH:ubiquinone oxidoreductase (H<sup>+</sup>-transporting)	G2Z-10738	Manes.13G039100
PWY-4302	aerobic respiration III (alternative oxidase pathway)	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1	G2Z-12182-MONOMER	succinate:quinone oxidoreductase	G2Z-12182	Manes.17G108500
PWY-5059	pinobanksin biosynthesis	RXN-7648	EC-1.14.11.9	G2Z-6421-MONOMER		G2Z-6421	Manes.01G043500
LIPASYN-PWY	phospholipases	3.1.4.11-RXN	EC-3.1.4.11	G2Z-12536-MONOMER	phosphatidylinositol 4,5-bisphosphate lipase C	G2Z-12536	Manes.S029900
GLYOXYLATE-BYPASS	glyoxylate cycle	MALATE-DEH-RXN	EC-1.1.1.37	G2Z-10864-MONOMER	malate dehydrogenase	G2Z-10864	Manes.13G106000
GLUCONEO-PWY	gluconeogenesis I	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
GLUCONEO-PWY	gluconeogenesis I	MALATE-DEH-RXN	EC-1.1.1.37	G2Z-10864-MONOMER	malate dehydrogenase	G2Z-10864	Manes.13G106000
GLUCONEO-PWY	gluconeogenesis I	2PGADEHYDRAT-RXN	EC-4.2.1.11	G2Z-6391-MONOMER	enolase	G2Z-6391	Manes.01G023200
GLUCONEO-PWY	gluconeogenesis I	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
GLUCONEO-PWY	gluconeogenesis I	F16BDEPHOS-RXN	EC-3.1.3.11	G2Z-7222-MONOMER	fructose-1,6-bisphosphatase	G2Z-7222	Manes.02G178700
PWY-3341	L-proline biosynthesis III	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-12092-MONOMER		G2Z-12092	Manes.17G072300
PWY-3341	L-proline biosynthesis III	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13	G2Z-11561-MONOMER		G2Z-11561	Manes.15G123600
PWY-6441	spermine and spermidine degradation III	RXN-9015	EC-1.5.3.17	G2Z-7048-MONOMER	spermine oxidase	G2Z-7048	Manes.02G090500
PWY-6441	spermine and spermidine degradation III	RXN-12089	EC-1.5.3.17	G2Z-7048-MONOMER	spermidine oxidase	G2Z-7048	Manes.02G090500
PWY66-399	gluconeogenesis III	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
PWY66-399	gluconeogenesis III	MALATE-DEH-RXN	EC-1.1.1.37	G2Z-10864-MONOMER	malate dehydrogenase	G2Z-10864	Manes.13G106000
PWY66-399	gluconeogenesis III	RXN66-526	EC-3.1.3.58	G2Z-7444-MONOMER		G2Z-7444	Manes.03G060800
PWY66-399	gluconeogenesis III	2PGADEHYDRAT-RXN	EC-4.2.1.11	G2Z-6391-MONOMER	enolase	G2Z-6391	Manes.01G023200
PWY66-399	gluconeogenesis III	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
PWY66-399	gluconeogenesis III	F16BDEPHOS-RXN	EC-3.1.3.11	G2Z-7222-MONOMER	fructose-1,6-bisphosphatase	G2Z-7222	Manes.02G178700
PWY-3801	sucrose degradation II (sucrose synthase)	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
PWY-5152	leucodelphinidin biosynthesis	RXN-7922	EC-1.14.11.9	G2Z-6421-MONOMER		G2Z-6421	Manes.01G043500
PWY-7416	phospholipid remodeling (phosphatidylcholine, yeast)	RXN-1641	EC-2.3.1.158	G2Z-7392-MONOMER	phospholipid: lyso-phosphatidylcholine acyltransferase	G2Z-7392	Manes.03G037800
PWY-101	photosynthesis light reactions	PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN	EC-1.10.9.1	G2Z-10996-MONOMER	plastoquinol-plastocyanin reductase	G2Z-10996	Manes.14G016000
PWY-101	photosynthesis light reactions	PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN	EC-1.10.9.1	G2Z-12633-MONOMER	plastoquinol-plastocyanin reductase	G2Z-12633	Manes.S080400
PWY-5659	GDP-mannose biosynthesis	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	RXN-1641	EC-2.3.1.158	G2Z-7392-MONOMER	phospholipid: lyso-phosphatidylcholine acyltransferase	G2Z-7392	Manes.03G037800
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	RXN-1623	EC-2.3.1.51	G2Z-12248-MONOMER	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	G2Z-12248	Manes.18G017100
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	EC-2.3.1.20	G2Z-7392-MONOMER	acyl-CoA:diacylglycerol acyltransferase	G2Z-7392	Manes.03G037800
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	EC-2.3.1.20	G2Z-9699-MONOMER	acyl-CoA:diacylglycerol acyltransferase	G2Z-9699	Manes.09G158200
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	PGLUCISOM-RXN	EC-5.3.1.9	G2Z-12333-MONOMER	glucose-6-phosphate isomerase	G2Z-12333	Manes.18G060600
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	F16BDEPHOS-RXN	EC-3.1.3.11	G2Z-7222-MONOMER	fructose-1,6-bisphosphatase	G2Z-7222	Manes.02G178700
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
PWY-1121	suberin monomers biosynthesis	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-8976-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-8976	Manes.07G075700
PWY-1121	suberin monomers biosynthesis	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104	G2Z-10897-MONOMER	caffeoyl-CoA 3-<i>O</i>-methyltransferase	G2Z-10897	Manes.13G122600
PWY-1121	suberin monomers biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-7772-MONOMER	phenylalanine ammonia-lyase	G2Z-7772	Manes.04G018000
PWY-1121	suberin monomers biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9032-MONOMER	phenylalanine ammonia-lyase	G2Z-9032	Manes.07G098700
PWY-1121	suberin monomers biosynthesis	PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.3.1.25	G2Z-9114-MONOMER	phenylalanine ammonia-lyase	G2Z-9114	Manes.08G008400
